Element1,Element2,Pair,Hmix_BCC_eV,Hmix_FCC_eV,Hmix_HCP_eV,Hmix_BCC_kJ_mol,Hmix_FCC_kJ_mol,Hmix_HCP_kJ_mol,avg mixing enthalpy in kJ per mole
Al,Te,Al-Te,-1.346803193,-0.908853655,-0.88507984,-129.9467639,-87.69105391,-85.39722929,-101.0116824
Al,Ti,Al-Ti,-1.423308169,-1.171783669,-1.081970004,-137.3283726,-113.0599457,-104.3942437,-118.260854
Al,V,Al-V,-0.832714259,-0.980876024,-0.999009946,-80.34471838,-94.64015665,-96.38981433,-90.45822979
Al,W,Al-W,-0.307437289,-0.685887279,-0.758192934,-29.66319133,-66.17806729,-73.154503,-56.33192054
Al,Y,Al-Y,-1.142312608,-0.998930228,-0.764104891,-110.2164203,-96.38212264,-73.72492023,-93.4411544
Al,Zn,Al-Zn,0.000791653,0.048036923,0.182971659,0.076382861,4.6348588,17.6540827,7.455108122
Al,Zr,Al-Zr,-1.461876011,-1.163108956,-1.036936829,-141.049604,-112.2229631,-100.0492025,-117.7739232
As,Au,As-Au,-0.263336598,-0.191000672,-0.562406494,-25.40812114,-18.42876483,-54.26398177,-32.70028925
As,Bi,As-Bi,-0.332153376,-0.521971795,-0.842814249,-32.04793144,-50.36262611,-81.31921935,-54.5765923
As,Cd,As-Cd,-0.566317868,-0.474891217,-0.638477512,-54.64137199,-45.82004058,-61.60371988,-54.02171082
As,Co,As-Co,-0.801273405,-0.893386665,-0.915324906,-77.31113691,-86.19871612,-88.31543479,-83.94176261
As,Cr,As-Cr,-0.103151754,-0.887674205,-1.302990649,-9.952632032,-85.64754748,-125.7194958,-73.77322509
As,Cu,As-Cu,-0.243195212,-0.274924135,-0.346655932,-23.46477276,-26.52614864,-33.44721551,-27.8127123
As,Fe,As-Fe,-0.57648815,-0.63832881,-0.876749639,-55.62265516,-61.58937226,-84.59348699,-67.2685048
As,Ga,As-Ga,-0.601574289,-0.945579011,-0.887784219,-58.04309979,-91.2345124,-85.65816219,-78.31192479
As,Ge,As-Ge,-0.657075276,-0.540596938,-0.925667532,-63.39813143,-52.15967932,-89.3133466,-68.29038578
As,Hf,As-Hf,-3.109867766,-2.847475858,-2.979229445,-300.0566488,-274.7396763,-287.4519659,-287.416097
As,Hg,As-Hg,-0.237743495,-0.746101768,-0.552171077,-22.93876195,-71.98788271,-53.27641415,-49.4010196
As,In,As-In,-0.619578144,-0.668146258,-0.791024193,-59.78020786,-64.46631882,-76.32223816,-66.85625495
As,Ir,As-Ir,-1.487948501,-0.372711881,-0.947124772,-143.565217,-35.96123258,-91.3836557,-90.30336844
As,Mg,As-Mg,-1.925056984,-2.197393158,-2.075250961,-185.7397776,-212.0162259,-200.2312946,-199.3290994
As,Mn,As-Mn,-0.972275131,-0.710682575,-1.12611039,-93.81029661,-68.57044988,-108.6531439,-90.34463012
As,Mo,As-Mo,-0.279766464,-1.339099401,-1.389504109,-26.99336238,-129.203461,-134.0667764,-96.75453325
As,Nb,As-Nb,-1.607145021,-2.262804626,-2.369898846,-155.0659338,-218.3274737,-228.6604959,-200.6846345
As,Ni,As-Ni,-1.200374055,-0.909753516,-1.476573859,-115.8184988,-87.77787733,-142.4677308,-115.3547023
As,Os,As-Os,-1.109050638,0.707403221,0.554252426,-107.0071278,68.25404032,53.47723379,4.908048759
As,Pb,As-Pb,-0.492988074,-0.421495142,-0.615889127,-47.56612191,-40.66810213,-59.42427187,-49.21949864
As,Pd,As-Pd,-1.589313849,-1.592807796,-1.728078095,-153.3454871,-153.6826018,-166.7342025,-157.9207638
As,Pt,As-Pt,-1.392758374,-1.015420314,-1.533554782,-134.3807652,-97.97317422,-147.9655546,-126.7731647
As,Re,As-Re,-0.139075342,0.39415547,0.22898751,-13.41873171,38.03022454,22.09393776,15.56847686
As,Rh,As-Rh,-2.079464899,-1.483266589,-1.837034778,-200.6378778,-143.1134811,-177.2469251,-173.6660947
As,Ru,As-Ru,-1.627915164,-0.685781699,-0.957828366,-157.0699481,-66.16788037,-92.41639558,-105.2180747
As,Sb,As-Sb,-0.500848075,-0.89395967,-0.96568712,-48.3244968,-86.25400271,-93.17465011,-75.91771654
As,Sc,As-Sc,-4.144993915,-3.709544096,-4.218930612,-399.9311472,-357.9166234,-407.0649546,-388.3042417
As,Si,As-Si,-0.512690771,-1.105069437,-0.998546757,-49.46714338,-106.6230004,-96.3451234,-84.14508906
As,Sn,As-Sn,-0.546526865,-0.685343709,-0.781276215,-52.73183039,-66.12562076,-75.38170124,-64.74638413
As,Ta,As-Ta,-1.044668019,-1.677344947,-1.903022104,-100.795149,-161.8391976,-183.6137347,-148.7493604
As,Te,As-Te,-0.959399029,-1.058964119,-0.893480671,-92.56794148,-102.174513,-86.20778635,-93.65008029
As,Ti,As-Ti,-3.05375884,-2.775600088,-2.953738252,-294.64296,-267.8047181,-284.9924396,-282.4800392
As,V,As-V,-1.299469391,-1.835420968,-2.02188964,-125.379746,-177.0912161,-195.0827094,-165.8512238
As,W,As-W,0.519543309,-0.658035987,-0.671342079,50.12831279,-63.49082599,-64.77466872,-26.04572731
As,Y,As-Y,-4.376633324,-3.725232626,-4.636638049,-422.2809543,-359.4303365,-447.3675986,-409.6929631
As,Zn,As-Zn,-0.334945514,-0.737910185,-0.813671114,-32.31733178,-71.19751509,-78.50733406,-60.67406031
As,Zr,As-Zr,-3.425142766,-3.163762489,-3.316408071,-330.4760644,-305.2566994,-319.9847603,-318.572508
Au,Bi,Au-Bi,-0.0864155,-0.184799188,-0.1049737,-8.337828899,-17.83041244,-10.12842314,-12.09888816
Au,Cd,Au-Cd,-0.656097611,-0.456921156,-0.500856176,-63.30380109,-44.08619311,-48.32527846,-51.90509089
Au,Co,Au-Co,0.83684168,0.81286131,0.864803207,80.74295402,78.42919987,83.44083151,80.87099513
Au,Cr,Au-Cr,1.640019284,0.045264546,0.100979005,158.2378182,4.367365135,9.74299363,57.44939232
Au,Cu,Au-Cu,-0.008868174,-0.007880891,-0.001380349,-0.855648759,-0.760390472,-0.133183418,-0.583074217
Au,Fe,Au-Fe,0.652062164,0.267007694,0.262977879,62.91443957,25.76232811,25.37351004,38.01675924
Au,Ga,Au-Ga,-0.585467465,-0.376309512,-0.481047011,-56.48902742,-36.30835126,-46.41398444,-46.4037877
Au,Ge,Au-Ge,-0.152285149,-0.145083411,-0.197684758,-14.69328435,-13.99842226,-19.07368104,-15.92179589
Au,Hf,Au-Hf,-1.636826343,-1.304807626,-1.18298649,-157.9297462,-125.8948075,-114.1408537,-132.6551358
Au,Hg,Au-Hg,0.409166319,0.388314894,0.422732686,39.47855138,37.46669455,40.78750696,39.24425096
Au,In,Au-In,-0.295452256,-0.317150338,-0.45622335,-28.5068114,-30.60035814,-44.01886504,-34.37534486
Au,Ir,Au-Ir,0.356898826,1.35839165,1.268812902,34.4355046,131.0648802,122.4218443,95.97407636
Au,Mg,Au-Mg,-1.858482024,-1.626865143,-1.672210631,-179.3162699,-156.9686364,-161.3438113,-165.8762392
Au,Mn,Au-Mn,0.11255068,0.200598972,0.306314187,10.85949063,19.35486007,29.55482853,19.92305974
Au,Mo,Au-Mo,1.03516491,-0.026534629,0.150923251,99.8782383,-2.560202677,14.56188121,37.29330561
Au,Nb,Au-Nb,-0.056168415,-0.64880196,-0.560487593,-5.419428619,-62.5998777,-54.07883593,-40.69938075
Au,Ni,Au-Ni,0.45278832,0.527072056,0.482861592,43.687435,50.85472655,46.58906493,47.04374216
Au,Os,Au-Os,0.517933327,1.91791456,2.043631139,49.9729732,185.0506384,197.1804453,144.068019
Au,Pb,Au-Pb,-0.048344929,0.014006377,-0.06577078,-4.664576888,1.351410095,-6.34591607,-3.219694288
Au,Pd,Au-Pd,-0.199014603,-0.257236319,-0.252436598,-19.20199159,-24.81953367,-24.35643094,-22.79265207
Au,Pt,Au-Pt,0.213451181,0.229813274,0.220242306,20.5949098,22.17361185,21.2501538,21.33955848
Au,Re,Au-Re,1.346764384,1.368020748,1.488341069,129.9430195,131.9939469,143.6030941,135.1800202
Au,Rh,Au-Rh,0.253615801,0.635433586,0.633427467,24.47020681,61.31002562,61.11646457,48.96556567
Au,Ru,Au-Ru,0.683148263,1.192578229,1.297130938,65.91379238,115.0663159,125.1541195,102.0447426
Au,Sb,Au-Sb,-0.160809133,-0.270645831,-0.362540796,-15.51572382,-26.11335505,-34.97987199,-25.53631695
Au,Sc,Au-Sc,-2.446910725,-2.084474234,-2.134263061,-236.0910133,-201.1212052,-205.9250971,-214.3791052
Au,Si,Au-Si,-0.406028821,-0.132907834,-0.539400579,-39.17582887,-12.82365753,-52.04424824,-34.68124488
Au,Sn,Au-Sn,-0.245881485,-0.217046549,-0.330238037,-23.72395868,-20.94181005,-31.86312933,-25.50963269
Au,Ta,Au-Ta,0.127600283,-0.334156666,-0.382998889,12.31155664,-32.24121956,-36.953778,-18.96114697
Au,Te,Au-Te,-0.333944291,-0.349476028,-0.161665151,-32.22072848,-33.71931334,-15.59831708,-27.17945297
Au,Ti,Au-Ti,-1.277818684,-1.150568056,-1.019710484,-123.2907702,-111.0129501,-98.38711273,-110.8969443
Au,V,Au-V,0.28552904,-0.265659839,-0.122121524,27.5493665,-25.63227987,-11.78293674,-3.288616701
Au,W,Au-W,1.588602547,0.359326336,0.556094994,153.2768569,34.66972372,53.65501454,80.53386506
Au,Y,Au-Y,-2.527071876,-1.998400839,-2.326471011,-243.8253892,-192.8163844,-224.4703465,-220.3707067
Au,Zn,Au-Zn,-0.814791656,-0.601242016,-0.638193522,-78.61544998,-58.01104036,-61.576319,-66.06760312
Au,Zr,Au-Zr,-1.607556709,-1.36626074,-1.294439973,-155.1056556,-131.824132,-124.8944809,-137.2747562
Bi,Cd,Bi-Cd,0.020180706,-0.06779888,0.037563174,1.947142304,-6.541597988,3.624295591,-0.323386698
Bi,Co,Bi-Co,0.858861749,1.156653585,1.169887879,82.86756784,111.6001144,112.8770297,102.4482373
Bi,Cr,Bi-Cr,2.21573238,1.488242826,1.425241795,213.785692,143.5936151,137.5149392,164.9647488
Bi,Cu,Bi-Cu,0.745918241,0.562570495,0.519536582,71.97017512,54.27980548,50.1276638,58.79254814
Bi,Fe,Bi-Fe,1.034893806,0.907704459,0.61920959,99.85208076,87.58017332,59.74464782,82.39230063
Bi,Ga,Bi-Ga,0.116382006,-0.026545675,0.062015278,11.22915744,-2.561268478,5.983565135,4.883818033
Bi,Ge,Bi-Ge,-0.008147894,0.02000224,-0.025149829,-0.786152299,1.929922927,-2.426589778,-0.427606383
Bi,Hf,Bi-Hf,-0.523860373,-0.301836816,-0.27863959,-50.54484615,-29.12282784,-26.88463558,-35.51743652
Bi,Hg,Bi-Hg,0.1249025,-0.049667001,0.007433723,12.05126018,-4.792137502,0.717245243,2.658789307
Bi,In,Bi-In,-0.088843305,-0.126251364,-0.099805924,-8.57207649,-12.18140576,-9.629808487,-10.12776358
Bi,Ir,Bi-Ir,0.009586471,1.098042923,0.746935437,0.924953938,105.9450447,72.06831965,59.6461061
Bi,Mg,Bi-Mg,-0.513293725,-0.529550178,-0.527430276,-49.52531958,-51.09382892,-50.88928953,-50.50281268
Bi,Mn,Bi-Mn,1.237794023,1.23000558,1.181283266,119.4289771,118.6775066,113.9765176,117.3610004
Bi,Mo,Bi-Mo,1.362788085,1.095237108,0.672166491,131.4890717,105.6743247,64.85421244,100.6725363
Bi,Nb,Bi-Nb,0.986594371,0.11324541,0.256240892,95.19189335,10.92652189,24.72348963,43.61396829
Bi,Ni,Bi-Ni,0.378051991,0.603239774,0.338907194,36.47647491,58.20379467,32.69957582,42.45994847
Bi,Os,Bi-Os,0.662604939,2.66571186,2.151790195,63.9316628,257.2021152,207.6162086,176.2499955
Bi,Pb,Bi-Pb,-0.159208786,-0.140669125,-0.130433064,-15.36131387,-13.57250835,-12.5848785,-13.83956691
Bi,Pd,Bi-Pd,-0.804041812,-0.982519983,-0.85201262,-77.57824765,-94.79877457,-82.20672732,-84.86124985
Bi,Pt,Bi-Pt,-0.52468141,-0.361011501,-0.694589404,-50.62406424,-34.83231744,-67.01769478,-50.82469215
Bi,Re,Bi-Re,1.305467248,2.605344129,2.320647751,125.9584512,251.3775141,223.9084873,200.4148175
Bi,Rh,Bi-Rh,-0.300735092,0.201632974,-0.286885511,-29.01652765,19.45462603,-27.68024609,-12.41404924
Bi,Ru,Bi-Ru,0.336055425,1.268242255,1.301098604,32.42442194,122.3667852,125.5369412,93.44271609
Bi,Sb,Bi-Sb,-0.190420024,-0.231167491,-0.444885115,-18.37274073,-22.30427399,-42.92489158,-27.8673021
Bi,Sc,Bi-Sc,-1.939702081,-1.699195904,-1.81415109,-187.1528148,-163.9474945,-175.0389847,-175.3797647
Bi,Si,Bi-Si,-0.043186881,0.126410476,0.030535151,-4.166900921,12.19675778,2.94619445,3.65868377
Bi,Sn,Bi-Sn,-0.113761339,-0.061176731,-0.051662051,-10.97630145,-5.902657715,-4.98463058,-7.287863248
Bi,Ta,Bi-Ta,1.688862069,0.86320585,0.83079992,162.9504309,83.28670993,80.16001275,108.7990512
Bi,Te,Bi-Te,-1.004003206,-1.033542072,-0.683825666,-96.87159072,-99.72165827,-65.97915191,-87.52413363
